time_s,BMR_A,BMP_A,SPM_A
301500,-0.0031675,-5.3015e-12,-2.4913
302400,19.027,6.3593e-11,5.2894
303300,14.911,5.9437e-11,3.9379
304200,14.918,5.5596e-11,3.099
305100,19.015,5.2007e-11,2.2087
306000,-19.224,-1.1837e-11,-5.2273
306900,-15.373,-1.4796e-11,-4.9847
307800,-15.531,-1.7819e-11,-4.7214
308700,-17.744,-2.0841e-11,-4.7349
309600,0.004357,-1.3789e-11,-4.8236
310500,0.0017672,-1.6874e-11,-4.9332
311400,-0.0014685,-2.0085e-11,-4.881
312300,-0.0046557,-2.3359e-11,-4.1281
313200,18.753,4.242,13.829
314100,15.235,4.242,12.88
315000,15.212,4.242,10.401
315900,18.672,4.242,3.0873
316800,-18.509,-1.2656e-10,-11.381
317700,-14.975,-1.2656e-10,-7.6031
318600,-15.107,-1.2656e-10,-7.3024
319500,-19.282,-1.2656e-10,-7.5799
320400,0.0036202,7.8074e-11,-0.24507
321300,0.0019607,7.8074e-11,-0.68092
322200,-0.0018914,7.7444e-11,-1.2868
323100,-0.0036896,7.7444e-11,-1.8508
324000,18.927,4.242,12.276
324900,14.963,4.242,11.108
325800,14.978,4.242,9.0426
326700,19.005,4.242,5.1214
327600,-0.004336,1.9015e-10,0.26064
328500,-0.0018808,1.933e-10,0.21271
329400,0.0018568,1.9644e-10,0.17086
330300,0.0043599,1.9959e-10,0.079616
331200,-0.0044009,4.4389e-11,-0.00071117
332100,-0.0018819,4.483e-11,0.00030978
333000,0.0018172,4.527e-11,0.000272
333900,0.0044655,4.5648e-11,0.0084674
334800,-18.993,-5.4841e-11,-2.4303
335700,-14.878,-5.4463e-11,-3.3122
336600,-14.911,-5.4148e-11,-3.5098
337500,-19.091,-5.3896e-11,-3.7677
338400,0.0035469,-6.737e-12,0.4761
339300,0.0022669,-6.5481e-12,-0.66291
340200,-0.001632,-6.3593e-12,-1.9795
341100,-0.0041818,-6.1893e-12,-2.5239
342000,19.002,1.2781e-10,6.1888
342900,14.941,1.2844e-10,4.844
343800,14.952,1.2844e-10,3.9068
344700,18.976,1.2907e-10,2.369
345600,-0.017745,1.2593e-11,0.11162
346500,-0.0047133,1.2719e-11,0.11576
347400,0.0040744,1.2907e-11,0.10263
348300,0.018385,1.3159e-11,0.065019
349200,-0.016715,4.8104e-12,0.0030851
350100,-0.0043562,5.2007e-12,0.0040388
351000,0.004941,5.6667e-12,0.00044389
351900,0.01613,6.2081e-12,4.7348e-05
352800,-0.015449,-1.1333e-11,-0.00015426
353700,-0.004453,-1.083e-11,0.00013474
354600,0.0045254,-1.0326e-11,2.1722e-05
355500,0.015377,-9.8222e-12,2.8648e-06
356400,-0.01556,-7.4926e-11,-0.045412
357300,-0.0046853,-7.4926e-11,-0.046685
358200,0.0045648,-7.5556e-11,-0.048831
359100,0.015681,-7.5556e-11,-0.038032
360000,-19.328,-8.4843,-3.6138
360900,-14.802,-8.4843,-4.2017
361800,-14.833,-8.4843,-4.1436
362700,-18.909,-8.4843,-4.3793
363600,18.747,-4.3822e-11,4.162
364500,14.849,-4.5207e-11,2.5708
365400,14.947,-4.6719e-11,1.0892
366300,19.329,-4.8419e-11,0.45278
367200,-19.525,-8.9407e-11,-4.5217
368100,-15.08,-9.5074e-11,-4.4244
369000,-15.017,-1.0263e-10,-4.5747
369900,-18.25,-1.127e-10,-5.0895
370800,0.013661,-8.2481e-11,-4.4971
371700,0.0047802,-9.1926e-11,-4.5218
372600,-0.0036177,-1.0704e-10,-3.7731
373500,-0.014824,-1.3348e-10,-4.5763
374400,0.01535,-2.3044e-11,-3.6342
375300,0.0044169,-3.1167e-11,-3.4786
376200,-0.0043222,-4.3633e-11,-3.3292
377100,-0.015445,-7.4296e-11,-3.2433
378000,0.015396,5.6037e-11,2.5424
378900,0.0043125,2.8963e-11,2.5269
379800,-0.0043763,1.6622e-11,2.8217
380700,-0.015332,7.4926e-12,1.9031
381600,0.015277,1.467e-10,8.3671
382500,0.0044276,1.0956e-10,3.405
383400,-0.0044371,9.1926e-11,2.0622
384300,-0.015267,8.0593e-11,1.838
385200,18.956,8.4843,8.0958
386100,15.014,8.4843,7.2032
387000,15.008,8.4843,5.5601
387900,18.895,8.4843,4.6115
388800,-0.01526,8.4843,2.488
389700,-0.0043429,8.4843,1.9623
390600,0.0043264,8.4843,1.6387
391500,0.015276,8.4843,0.7601
392400,-0.015347,3.5574e-11,0.033862
393300,-0.0044985,4.0611e-11,0.040529
394200,0.0044153,4.7474e-11,0.039253
395100,0.01543,5.7863e-11,0.0050209
396000,-0.015431,2.1722e-11,0.00045585
396900,-0.0044622,2.9215e-11,0.00011585
397800,0.0044554,4.1052e-11,1.4796e-05
398700,0.015438,7.1148e-11,1.7944e-06
399600,-0.015462,-8.4843,-12.752
400500,-0.0044441,-8.4843,-8.5082
401400,0.0045355,-8.4843,-8.5264
402300,0.015371,-8.4843,-7.7283
403200,-19.399,-8.4843,-6.4995
404100,-15.164,-8.4843,-6.1824
405000,-14.958,-8.4843,-5.7897
405900,-18.351,-8.4843,-5.0827
406800,18.203,8.4843,17.02
407700,15.014,8.4843,16.349
408600,15.232,8.4843,15.574
409500,19.423,8.4843,10.675
410400,-0.015334,8.4843,0.58251
411300,-0.0044333,8.4843,0.39043
412200,0.0044888,8.4843,0.26121
413100,0.015279,8.4843,0.19201
414000,-0.015276,6.6741e-11,0.0081387
414900,-0.0044101,7.6185e-11,0.010401
415800,0.0044192,9.0667e-11,0.0035568
416700,0.015267,1.1963e-10,0.00037337
417600,-0.015196,1.3159e-12,-3.1607e-05
418500,-0.0043721,9.5704e-12,6.4222e-05
419400,0.0043305,1.9519e-11,9.8852e-06
420300,0.015238,3.5196e-11,1.2907e-06
421200,-0.014713,-3.2489e-11,-0.00019959
422100,-0.0040668,-1.7126e-11,0.00013033
423000,0.0044868,-6.9889e-12,6.0004e-05
423900,0.014293,1.7189e-12,8.7519e-06
424800,-0.014334,1.9204e-12,-6.1704e-05
425700,-0.0044989,1.1019e-11,5.3707e-05
426600,0.0040592,2.2415e-11,8.0593e-06
427500,0.014773,4.3319e-11,1.0389e-06
428400,-0.015444,-2.72e-11,-5.3141e-05
429300,-0.0043586,-6.6111e-12,4.5522e-05
430200,0.0043696,9.1926e-12,6.737e-06
431100,0.015433,3.2048e-11,8.6259e-07
432000,-5.4148e-07,2.3107e-12,-0.00017819
432900,-3.5007e-07,-1.5741e-12,0.00014481
433800,4.4074e-07,-7.7444e-13,2.4367e-05
434700,4.5081e-07,8.437e-13,3.2489e-06
435600,-4.187e-07,-2.7578e-12,-0.00017315
436500,-3.2489e-07,-2.5689e-12,0.00014607
437400,3.23e-07,-7.8704e-14,2.3926e-05
438300,4.2122e-07,1.2844e-12,3.167e-06
439200,-4.1681e-07,-7.3037e-12,-0.00012593
440100,-2.8207e-07,-4.867e-12,0.00010767
441000,2.9907e-07,-1.7441e-12,1.6307e-05
441900,3.9981e-07,-3.23e-12,2.1219e-06
442800,-3.9856e-07,-8.4843,-6.6716
443700,-2.273e-07,-8.4843,-5.604
444600,4.0485e-07,-8.4843,-4.9683
445500,2.2037e-07,-8.4843,-4.8793
446400,-20.668,-8.4843,-7.8477
447300,-14.112,-8.4843,-7.2146
448200,-14.257,-8.4843,-5.2702
449100,-18.835,-8.4843,-5.6491
450000,4.1304e-07,-5.6793e-12,-3.5051
450900,3.4252e-07,-5.7548e-12,-3.3555
451800,-3.2174e-07,-7.5556e-12,-3.1795
452700,-4.3444e-07,-1.637e-11,-2.9907
453600,4.1933e-07,5.4904e-12,-0.79723
454500,3.5007e-07,1.2089e-12,-1.3429
455400,-3.3685e-07,-1.8259e-12,-1.06
456300,-4.3319e-07,-6.9259e-12,-1.4759
457200,18.502,8.4843,14.023
458100,14.936,8.4843,14.499
459000,15.211,8.4843,13.531
459900,19.223,8.4843,12.053
460800,-3.8156e-07,8.2481e-12,2.5975
461700,-2.0022e-07,8.2481e-12,2.2246
462600,3.293e-07,8.2481e-12,1.8505
463500,2.5248e-07,8.2481e-12,1.6704
464400,-20.036,-8.4843,-16.226
465300,-14.84,-8.4843,-13.104
466200,-14.791,-8.4843,-8.5344
467100,-18.204,-8.4843,-7.9024
468000,18.441,8.4843,10.591
468900,14.982,8.4843,8.8221
469800,15.212,8.4843,8.5524
470700,19.238,8.4843,7.4763
471600,-4.357e-07,8.4843,5.0869
472500,-3.2741e-07,8.4843,4.4918
473400,3.3874e-07,8.4843,3.1635
474300,4.25e-07,8.4843,0.84442
475200,-9.5074e-09,-4.4281,-0.0054663
476100,-2.5311e-07,-3.2558,0.0049715
477000,-9.3815e-08,-2.733,0.004827
477900,5.9941e-09,-2.4384,0.0048066
478800,-9.1926e-08,-2.2533,0.0047871
479700,4.0989e-08,-2.1281,0.0047692
480600,1.1019e-07,-2.039,0.004548
481500,2.9089e-07,-1.9725,0.021298
482400,-18.901,-8.4843,-16.406
483300,-15.043,-8.4843,-12.522
484200,-15.041,-8.4843,-10.078
485100,-18.888,-8.4843,-7.9278
486000,4.3004e-07,-2.1613,-2.9089
486900,3.0978e-07,-2.4443,-3.0786
487800,-3.2174e-07,-3.0677,-2.8589
488700,-4.1807e-07,-5.0146,-2.6377
489600,4.1807e-07,-3.3748e-12,-1.902
490500,3.5763e-07,-3.4881e-12,-1.6161
