timestamp,forecast_price_eur_mwh,slot_id,date,hour,minute,day_of_week,is_weekend,model_name,created_at_utc,forecast_reason
2026-01-01 18:30:00,132.09300000000002,74,2026-01-01,18,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 18:45:00,127.608,75,2026-01-01,18,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 19:00:00,134.47199999999998,76,2026-01-01,19,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 19:15:00,129.894,77,2026-01-01,19,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 19:30:00,124.56800000000001,78,2026-01-01,19,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 19:45:00,117.065,79,2026-01-01,19,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 20:00:00,134.814,80,2026-01-01,20,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 20:15:00,124.405,81,2026-01-01,20,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 20:30:00,112.203,82,2026-01-01,20,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 20:45:00,104.27199999999999,83,2026-01-01,20,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 21:00:00,125.456,84,2026-01-01,21,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 21:15:00,116.79299999999999,85,2026-01-01,21,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 21:30:00,108.744,86,2026-01-01,21,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 21:45:00,101.598,87,2026-01-01,21,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 22:00:00,118.277,88,2026-01-01,22,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 22:15:00,112.587,89,2026-01-01,22,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 22:30:00,103.922,90,2026-01-01,22,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 22:45:00,95.256,91,2026-01-01,22,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 23:00:00,104.24199999999999,92,2026-01-01,23,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 23:15:00,94.53999999999999,93,2026-01-01,23,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 23:30:00,88.83600000000001,94,2026-01-01,23,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 23:45:00,83.21700000000001,95,2026-01-01,23,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
